Features,Label
"From a practical medical standpoint, I agree it's probably not all that important. Particularly if the patient is hypoglycemic. But from a CYA standpoint, it's considered standard of care and could create legal issues.",yes
"Someone still trying to point the finger my way, I'm sure. ""Blood loss would have been less extreme if anesthesia kept BP lower."" I wish I was being facetious. A spine surgeon documented this and told something to that effect to the family after he put a screw through the common iliac and killed a patient.",yes
"Reminiscent of Covid, when nurses had no incentive to work with Covid patients or during the peak of Covid. Hospital leadership rarely give a shit to their foot soldiers. It's always about the money.",yes
"I've worked in healthcare for 15 years (CNA/tech partner/mental health tech) and MOST bodily fluids don't bother me, except for lung butter. Had a patient with a trach shoot lung butter on my forearm while coughing and I almost horfed right there. Mad props to folks that work in respiratory because I absolutely can not.",yes
"Multiple things can be true at the same time. You can have legitimately never seen anything similar happen in your career or personal life. Likewise, out of the billions of patients in the world, there can exist an amount who have had their symptoms completely disregarded and their pain not treated. Respectfully, if you can not see beyond your own personal experiences, you should probably check your internal biases.",no
"I'm an NP and live in Canada where I'm tied to a physician for consultative purposes ONLY if I need help with a diagnosis or treatment plan, which the requirement will be changing very soon because we have enough NPs to take over that role for new graduates. Also, we have the ability to curbside consult specialists just as a GP would. I practice completely independently to the scope of a GP. The GP has no say over my practice and is not responsible for my practice in any manner. But I would never expect to be paid the same amount. Like 75%? I'd be happy with. I'm with the physicians on this one. I didn't have to sacrifice my 20s and early 30s for my career. I started off with a good paying job as an RN after graduation. And now as an NP my patient benchmarks and roster are like half what a physician has to see. But that being said, I think the education argument becomes less once an NP has been practising for several years - considering we don't just graduate and stop learning (if you're a good NP). And the education in Canada is pretty rigorous and standardized and there is more regulation coming down the pipeline that will improve it more.  That being said, I'm relating this to a family physician, not a different specialty. I'd never agree with NP basic education being similar to another specialist without having additional didactic and residency experience equivalent to that specialist's post grad requirements. Plus, aren't these NPs required to have supervision by an MD? They are not independent then. You can't expect to be paid independent wages when someone else's license is at stake.  I also think that GPs are grossly underpaid compared to other specialties. And NPs are also grossly underpaid. But equal? No. ",yes
"The pay is not just for the work, but for the knowledge and experience, which NPs certainly can't remotely compare to physicians.",no
"I had a patient who got transferred to us from another hospital because they had no idea why they were in cardiogenic shock. Young, healthy, no family or personal medical history. Barrage of viral and bacterial workups, numerous vials of blood to test the most rare diseases that could lead to it. Must have drawn hundreds of vials, and even with the patient having an A-line, it was annoying sitting down to chart, and then ""hey we ordered a few more labs that we might need."" I hit em with an annoyed, ""that's the last of it, right?"" They say yes, then they send an intern to tell me they needed other ones a few mins later. It's not hard to discuss among each other for a bit, then decide to order them all together.",yes
"This was my thought. It absolutely happens in rural medicine. I literally field these patients almost every day I work. Sometimes it's legit no one worked them up, sometimes the patients are legit dramatic and have their story wrong. Trying to decipher which is which can be, interesting at times. Not sure if city, metro area type docs are similar or not",no
Unfortunately I could not stay any longer. I understand your point. I did however stay over two hours to help code this patient and handle the coroner call and organ donation paperwork. There was also a call team that could have stayed but I also don't think they should have had to do that.,yes
We had a patient that got Wernike encephalopaty after a cancer gastrectomy...so it checks all the boxes of restrictive diet + thiamine deplection in a malnourished patient ,yes
